ID,Dialogue_id,Utterance_id,Speaker,Sentence,Label
0,0,0,卖油条小刘,我说,0
1,0,1,保姆小张,干啥子嘛？,0
2,0,2,卖油条小刘,你看你往星空看月朦胧，鸟朦胧,1
3,0,3,卖油条小刘,咱是不是歇一下这双，疲惫的双腿？,0
4,0,4,卖油条小刘,快把我累死了,0
5,0,5,卖油条小刘,我说亲爱的大姐你贵姓啊？,1
6,0,6,保姆小张,我免贵姓张我叫张凤姑,0
7,0,7,卖油条小刘,凤姑,0
8,0,8,保姆小张,天天买你的油条还没有问过师傅，你贵姓啊？,0
9,0,9,卖油条小刘,我免贵，我姓刘，我叫刘建军,0
10,0,10,卖油条小刘,凤姑姑,0
11,0,11,卖油条小刘,我的姑啊我亲爱的姑,1
12,0,12,卖油条小刘,我怎么那么别扭呢？,1
13,0,13,卖油条小刘,我自从见了你以后我的这个生活，我的这个事业发生了翻天覆地的变化,0
14,0,14,卖油条小刘,只要你的身影，从那个胡同口噌一出现,0
15,0,15,卖油条小刘,我的这个心里头就像那个油锅一样咕噜噜，咕噜噜，热血沸腾,1
16,0,16,卖油条小刘,我跟你说吧咱们两个是同样的理想，同样的心,0
17,0,17,卖油条小刘,同是天涯沦落人天下农友心连心穷不帮穷谁照应？,1
18,0,18,卖油条小刘,我都说了半天了，你倒说话呀,0
19,0,19,保姆小张,我是在用不在乎，掩藏真心,1
20,0,20,卖油条小刘,我这就想抓起你的手让你这就跟我走,0
21,0,21,保姆小张,莫慌喽谁知道你明天是否依然爱我？,1
22,0,22,卖油条小刘,你连我都不相信了？我已经准备好了我想用此情换此生了,0
23,0,23,保姆小张,真希望这场梦没有醒来的时候,0
24,0,24,卖油条小刘,只有你和我直到永远,0
25,1,0,志国,得啦和平折腾一天了早点儿休息让大家也都睡吧,0
26,1,1,和平,不,1
27,1,2,和平,你们都送送我我一会儿就走,0
28,1,3,和平,现在几点了,0
29,1,4,志国,11点50,0
30,1,5,和平,也就十来多分钟了我知道我熬不过12点去,0
31,1,6,和平,圆圆来妈死了以后,0
32,1,7,圆圆,哎哟妈你怎么整天喊死喊活,0
33,1,8,圆圆,烦死我了,1
34,1,9,傅明,就是嘛好好的一个大活人自己说死就死了,0
35,1,10,傅明,这也不合乎科学嘛,1
36,1,11,和平,爸爸唉我以后孝敬不了您啦,0
37,1,12,和平,我给您织的毛衣还差一领口您找别人帮着织吧,1
38,1,13,和平,志新,0
39,1,14,志新,唉  在在,0
40,1,15,和平,来,0
41,1,16,和平,往后你多照顾照顾家  啊,0
42,1,17,志新,嫂子您这不活得好好的吗,1
43,1,18,志新,怎么能说过去就过去不带含糊的呀,0
44,1,19,和平,小凡,0
45,1,20,小凡,唉 来了,0
46,1,21,和平,来,0
47,1,22,和平,我第一放心不下圆圆第二就放心不下你,0
48,1,23,和平,虽说你是妹妹可跟我闺女差不多,0
49,1,24,和平,往后你要好自为之,1
50,1,25,小凡,啊说得跟真事儿似的,1
51,1,26,和平,志国来圆圆我就交给你了,0
52,1,27,和平,记住了给我办完丧事赶紧办喜事,1
53,1,28,和平,越快越好免得夜长梦多,0
54,1,29,和平,平时我老不让你看的那个小匣子里有我多年来积攒下的私房钱,0
55,1,30,和平,零零碎碎加一块儿有个三四千块留着办喜事吧,1
56,1,31,志国,这都哪儿的事呀这,0
57,1,32,和平,到点没有差不多了吧,1
58,1,33,和平,我就要上那边儿报到去啦,0
59,1,34,志新,嫂子这种事怎么还有时有点的啊,1
60,1,35,和平,我心里有数,0
61,1,36,和平,永别了同志们,1
62,1,37,志国,哈哈哈哈哈哈,1
63,1,38,志国,开什么玩笑睡觉睡觉,0
64,1,39,志国,哎  啊真死啦  过去啦,0
65,1,40,傅明,不可能,0
66,1,41,志新,这演员他有时候,0
67,1,42,志新,哎  真隔屁了啦,1
68,1,43,傅明,我看看我看看,0
69,1,44,傅明,这的确是去世了,1
70,1,45,小凡,圆圆  圆圆你妈真死了 圆圆,0
71,1,46,圆圆,妈妈妈妈——,0
72,1,47,圆圆,妈——,1
73,2,0,志新,嫂子啊，这小子身上这股子邪味儿啊我两瓶空气清新剂愣没压住它！,0
74,2,1,和平,你说说你就这么把人春生儿给轰走了人家发明家多不易呀,0
75,2,2,志新,有这么大饭量的发明家吗他要真是冤假错案上访站能这么对待他？,1
76,2,3,志新,唉我就不信你比咱人民政府还英明？,0
77,2,4,和平,呦，这圆圆看电影怎么这么早就回来,0
78,2,5,和平,啊？呦，春生儿？你不是，唉？,0
79,2,6,季春生,我是来问一件重要的事的你们吃晚饭了吗？,0
80,2,7,和平,没呐。,0
81,2,8,季春生,太好了。,0
82,2,9,和平,怎么着你想请我们俩上外边下馆子去啊不用啦，都不是外人！免啦吧！,0
83,2,10,季春生,不是，我是怕回来晚了赶不上咱家开饭,1
84,2,11,志新,纪春生，你活糊涂了吧这儿不是信访站,0
85,2,12,季春生,我知道，我刚从哪儿回来人家说只管一顿午饭,0
86,2,13,季春生,晚饭呢，非要我们食宿自理。,1
87,2,14,志新,那你也不能理到我们家来呀？,0
88,2,15,季春生,那你烧了我那精心设计赖以生存的行头那谁还可怜我呀？,0
89,2,16,志新,合着还是我断了你的生路啊？,0
90,2,17,和平,唉，春生啊？昨儿我教你那些话你跟信访站的同志讲了没有啊？,0
91,2,18,季春生,他们听了还是老一套他们说：“这事不归我们管，你又不是残疾人”,0
92,2,19,和平,啊 ？你上残疾人信访站去了？,0
