ID,Dialogue_id,Utterance_id,Speaker,Sentence,Label
0,0,0,Chandler,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0
1,0,1,The Interviewer,You must've had your hands full.,0
2,0,2,Chandler,That I did. That I did.,0
3,0,3,The Interviewer,So let's talk a little bit about your duties.,0
4,0,4,Chandler,My duties?  All right.,1
5,0,5,The Interviewer,"Now you'll be heading a whole division, so you'll have a lot of duties.",0
6,0,6,Chandler,I see.,0
7,0,7,The Interviewer,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,1
8,0,8,Chandler,Good to know.,0
9,0,9,The Interviewer,We can go into detail,0
10,0,10,Chandler,No don't I beg of you!,0
11,0,11,The Interviewer,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",0
12,0,12,Chandler,Really?!,0
13,0,13,The Interviewer,Absolutely.  You can relax,0
14,1,0,Chandler,"Hey, Mon.",0
15,1,1,Monica,Hey-hey-hey. You wanna hear something that sucks.,0
16,1,2,Chandler,Do I ever.,0
17,1,3,Monica,Chris says they're closing down the bar.,0
18,1,4,Chandler,No way!,0
19,1,5,Monica,"Yeah, apparently they're turning it into some kinda coffee place.",0
20,1,6,Chandler,Just coffee! Where are we gonna hang out now?,1
21,1,7,Monica,Got me.,0
22,1,8,Chandler,Can I get a beer.,0
23,1,9,Monica,"Hey, did you pick a roommate?",0
24,1,10,Chandler,You betcha!,0
25,1,11,Monica,Is it the Italian guy?,0
26,1,12,Chandler,"Um-mm, yeah right!",0
27,2,0,Rachel,Hey!,0
28,2,1,Ross,Hi!,0
29,2,2,Rachel,What are you doing here?,0
30,2,3,Ross,"Ah y'know, this building is on my paper route so I...",1
31,2,4,Rachel,Oh.,0
32,2,5,Ross,Hi.,0
33,2,6,Rachel,Hi.,0
34,2,7,Ross,How'd did it go?,0
35,2,8,Rachel,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",0
36,2,9,Ross,I'm so proud of you.,0
37,2,10,Rachel,Me too!,0
38,2,11,Ross,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",0
39,2,12,Rachel,I know.,0
40,2,13,Ross,Yeah.,0
41,2,14,Rachel,Yeah.,0
42,3,0,Chandler,Good job Joe! Well done! Top notch!,1
43,3,1,Joey,You liked it? You really liked it?,0
44,3,2,Chandler,"Oh-ho-ho, yeah!",0
45,3,3,Joey,Which part exactly?,0
46,3,4,Chandler,The whole thing! Can we go?,1
47,3,5,Joey,"Oh no-no-no, give me some specifics.",0
48,3,6,Chandler,"I love the specifics, the specifics were the best part!",1
49,3,7,Joey,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0
50,3,8,Chandler,I was surprised to see a kangaroo in a World War I epic.,1
51,3,9,Joey,You fell asleep!!,0
52,3,10,Joey,There was no kangaroo!,1
53,3,11,Joey,They didn't take any of my suggestions!,1
54,3,12,Joey,That's for coming buddy.,0
55,3,13,Joey,I'll see you later.,0
56,3,14,Chandler,Don't go!,0
57,3,15,Chandler,I'm sorry.,0
58,3,16,Chandler,I'm so sorry!,0
59,3,17,Chandler,Look!,0
60,3,18,Chandler,This guy fell asleep!,0
61,3,19,Chandler,He fell asleep too!,1
62,3,20,Chandler,Be mad at him!,1
63,3,21,Chandler,"Or, call an ambulance.",1
64,4,0,Chandler,What've you been up to?,0
